,technology,year,cap_mean_base,fix_mean_base,fix_mean_US,fix_min_US,fix_max_US,US_scenario,cap_par_unit,cap_min_US,cap_mean_US,cap_max_US,cap_factor,fix_factor,cap_min_final,cap_max_final,fix_min_final,fix_max_final
0,Biomass Power Plant,2025,79.27447995941148,2.3782343987823444,150.85,150.85,150.85,Moderate,$/kW,3954.0,3954.0,3954.0,0.02004918562453502,0.015765557830840864,79.27447995941148,79.27447995941148,2.3782343987823444,2.3782343987823444
1,Biomass Power Plant,2025,79.27447995941148,2.3782343987823444,150.85,150.85,150.85,Advanced,$/kW,3954.0,3954.0,3954.0,0.02004918562453502,0.015765557830840864,79.27447995941148,79.27447995941148,2.3782343987823444,2.3782343987823444
2,Biomass Power Plant,2025,79.27447995941148,2.3782343987823444,150.85,150.85,150.85,Conservative,$/kW,3954.0,3954.0,3954.0,0.02004918562453502,0.015765557830840864,79.27447995941148,79.27447995941148,2.3782343987823444,2.3782343987823444
3,Biomass Power Plant,2030,79.27447995941148,2.3782343987823444,150.85,150.85,150.85,Moderate,$/kW,3826.0,3826.0,3826.0,0.020719937260693017,0.015765557830840864,79.27447995941148,79.27447995941148,2.3782343987823444,2.3782343987823444
4,Biomass Power Plant,2030,79.27447995941148,2.3782343987823444,150.85,150.85,150.85,Advanced,$/kW,3826.0,3826.0,3826.0,0.020719937260693017,0.015765557830840864,79.27447995941148,79.27447995941148,2.3782343987823444,2.3782343987823444
5,Biomass Power Plant,2030,79.27447995941148,2.3782343987823444,150.85,150.85,150.85,Conservative,$/kW,3826.0,3826.0,3826.0,0.020719937260693017,0.015765557830840864,79.27447995941148,79.27447995941148,2.3782343987823444,2.3782343987823444
6,Biomass Power Plant,2040,79.27447995941148,2.3782343987823444,150.85,150.85,150.85,Moderate,$/kW,3570.0,3570.0,3570.0,0.02220573668330854,0.015765557830840864,79.27447995941148,79.27447995941148,2.3782343987823444,2.3782343987823444
7,Biomass Power Plant,2040,79.27447995941148,2.3782343987823444,150.85,150.85,150.85,Advanced,$/kW,3570.0,3570.0,3570.0,0.02220573668330854,0.015765557830840864,79.27447995941148,79.27447995941148,2.3782343987823444,2.3782343987823444
8,Biomass Power Plant,2040,79.27447995941148,2.3782343987823444,150.85,150.85,150.85,Conservative,$/kW,3570.0,3570.0,3570.0,0.02220573668330854,0.015765557830840864,79.27447995941148,79.27447995941148,2.3782343987823444,2.3782343987823444
9,Biomass Power Plant,2050,79.27447995941148,2.3782343987823444,150.85,150.85,150.85,Moderate,$/kW,3314.0,3314.0,3314.0,0.02392108628829556,0.015765557830840864,79.27447995941148,79.27447995941148,2.3782343987823444,2.3782343987823444
10,Biomass Power Plant,2050,79.27447995941148,2.3782343987823444,150.85,150.85,150.85,Advanced,$/kW,3314.0,3314.0,3314.0,0.02392108628829556,0.015765557830840864,79.27447995941148,79.27447995941148,2.3782343987823444,2.3782343987823444
11,Biomass Power Plant,2050,79.27447995941148,2.3782343987823444,150.85,150.85,150.85,Conservative,$/kW,3314.0,3314.0,3314.0,0.02392108628829556,0.015765557830840864,79.27447995941148,79.27447995941148,2.3782343987823444,2.3782343987823444
12,CSP with Storage,2025,148.08472856418064,1.8382166412988334,61.3111111111111,61.3111111111111,61.3111111111111,Moderate,$/kW,5.204,5.204,5.204,28.455943229089286,0.02998178646554821,148.08472856418064,148.08472856418064,1.8382166412988334,1.8382166412988334
13,CSP with Storage,2025,148.08472856418064,1.8382166412988334,54.87222222222223,54.87222222222222,54.87222222222222,Advanced,$/kW,4782.0,4782.0,4782.0,0.0309671117867379,0.03349994891503392,148.08472856418064,148.08472856418064,1.8382166412988332,1.8382166412988332
14,CSP with Storage,2025,148.08472856418064,1.8382166412988334,66.0,66.0,66.0,Conservative,$/kW,6.242,6.242,6.242,23.723923191954604,0.027851767292406567,148.08472856418064,148.08472856418064,1.8382166412988334,1.8382166412988334
15,CSP with Storage,2030,119.32394723490616,1.8382166412988334,56.62222222222223,56.62222222222223,56.62222222222223,Moderate,$/kW,4.166,4.166,4.166,28.642330109194948,0.032464579614775314,119.32394723490616,119.32394723490616,1.8382166412988334,1.8382166412988334
16,CSP with Storage,2030,119.32394723490616,1.8382166412988334,43.74444444444444,43.74444444444444,43.74444444444444,Advanced,$/kW,3321.0,3321.0,3321.0,0.03593012563532254,0.04202171646352426,119.32394723490614,119.32394723490614,1.8382166412988334,1.8382166412988334
17,CSP with Storage,2030,119.32394723490616,1.8382166412988334,66.0,66.0,66.0,Conservative,$/kW,6.242,6.242,6.242,19.116300422125306,0.027851767292406567,119.32394723490616,119.32394723490616,1.8382166412988334,1.8382166412988334
18,CSP with Storage,2040,116.05783866057841,1.8382166412988334,56.33721574568748,56.33721574568749,56.33721574568749,Moderate,$/kW,3.951,3.951,3.951,29.37429477615247,0.03262881590735243,116.05783866057841,116.05783866057841,1.8382166412988337,1.8382166412988337
19,CSP with Storage,2040,116.05783866057841,1.8382166412988334,43.52611111111113,43.52611111111112,43.52611111111112,Advanced,$/kW,2990.0,2990.0,2990.0,0.03881533065571184,0.04223250353348436,116.05783866057841,116.05783866057841,1.8382166412988332,1.8382166412988332
20,CSP with Storage,2040,116.05783866057841,1.8382166412988334,66.0,66.0,66.0,Conservative,$/kW,6.242,6.242,6.242,18.59305329390875,0.027851767292406567,116.05783866057841,116.05783866057841,1.8382166412988334,1.8382166412988334
